edge,title
"('r3d100010299', 'earth science')",CONTAINS
"('r3d100010299', 'earth system sciences')",CONTAINS
"('r3d100010299', 'Archived data')",HAS_CONTENT
"('r3d100010299', 'Databases')",HAS_CONTENT
"('r3d100010299', 'Images')",HAS_CONTENT
"('r3d100010299', 'Plain text')",HAS_CONTENT
"('r3d100010299', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100010299', 'Standard office documents')",HAS_CONTENT
"('r3d100010299', 'Structured graphics')",HAS_CONTENT
"('r3d100010299', 'Structured text')",HAS_CONTENT
"('r3d100010299', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010299', 'serviceProvider')",HAS_PROVIDER_TYPE
"('r3d100010311', 'eng')",WRITTEN_IN
"('r3d100010311', '3 Natural Sciences')",ABOUT
"('r3d100010311', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010311', '31302 Oceanography')",ABOUT
"('r3d100010311', '314 Geology and Palaeontology')",ABOUT
"('r3d100010311', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010311', 'borehole')",CONTAINS
"('r3d100010311', 'climate change')",CONTAINS
"('r3d100010311', 'climate forcing')",CONTAINS
"('r3d100010311', 'climate reconstruction')",CONTAINS
"('r3d100010311', 'coral and sclerosponge')",CONTAINS
"('r3d100010311', 'fauna')",CONTAINS
"('r3d100010311', 'fire history')",CONTAINS
"('r3d100010311', 'global warming')",CONTAINS
"('r3d100010311', 'ice core')",CONTAINS
"('r3d100010311', 'insect')",CONTAINS
"('r3d100010311', 'lake')",CONTAINS
"('r3d100010311', 'lake level reconstruction')",CONTAINS
"('r3d100010311', 'loess and eolian dust')",CONTAINS
"('r3d100010311', 'paleclimate modelling')",CONTAINS
"('r3d100010311', 'paleoceanography')",CONTAINS
"('r3d100010311', 'paleoclimatology')",CONTAINS
"('r3d100010311', 'plant macrofossil')",CONTAINS
"('r3d100010311', 'pollen')",CONTAINS
"('r3d100010311', 'speleothem')",CONTAINS
"('r3d100010311', 'tree ring')",CONTAINS
"('r3d100010311', 'Images')",HAS_CONTENT
"('r3d100010311', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100010311', 'Standard office documents')",HAS_CONTENT
"('r3d100010311', 'Structured text')",HAS_CONTENT
"('r3d100010311', 'other')",HAS_CONTENT
"('r3d100010311', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010379', 'eng')",WRITTEN_IN
"('r3d100010379', '3 Natural Sciences')",ABOUT
"('r3d100010379', '318 Water Research')",ABOUT
"('r3d100010379', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010379', 'agriculture')",CONTAINS
"('r3d100010379', 'climate change')",CONTAINS
"('r3d100010379', 'emission')",CONTAINS
"('r3d100010379', 'historical precipitation')",CONTAINS
"('r3d100010379', 'historical temperature')",CONTAINS
"('r3d100010379', 'natural hazards')",CONTAINS
"('r3d100010379', 'nutrition')",CONTAINS
"('r3d100010379', 'population')",CONTAINS
"('r3d100010379', 'water')",CONTAINS
"('r3d100010379', 'weather')",CONTAINS
"('r3d100010379', 'Images')",HAS_CONTENT
"('r3d100010379', 'Plain text')",HAS_CONTENT
"('r3d100010379', 'Structured graphics')",HAS_CONTENT
"('r3d100010379', 'Structured text')",HAS_CONTENT
"('r3d100010379', 'serviceProvider')",HAS_PROVIDER_TYPE
"('r3d100010402', 'eng')",WRITTEN_IN
"('r3d100010402', 'nld')",WRITTEN_IN
"('r3d100010402', '3 Natural Sciences')",ABOUT
"('r3d100010402', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010402', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010402', 'analyse tool')",CONTAINS
"('r3d100010402', 'climate')",CONTAINS
"('r3d100010402', 'climate change')",CONTAINS
"('r3d100010402', 'data')",CONTAINS
"('r3d100010402', 'oberservation')",CONTAINS
"('r3d100010402', 'statistics')",CONTAINS
"('r3d100010402', 'Archived data')",HAS_CONTENT
"('r3d100010402', 'Configuration data')",HAS_CONTENT
"('r3d100010402', 'Images')",HAS_CONTENT
"('r3d100010402', 'Plain text')",HAS_CONTENT
"('r3d100010402', 'Raw data')",HAS_CONTENT
"('r3d100010402', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100010402', 'Standard office documents')",HAS_CONTENT
"('r3d100010402', 'Structured graphics')",HAS_CONTENT
"('r3d100010402', 'Structured text')",HAS_CONTENT
"('r3d100010402', 'dataProvider')",HAS_PROVIDER_TYPE
"('r3d100010402', 'serviceProvider')",HAS_PROVIDER_TYPE
"('r3d100010404', 'eng')",WRITTEN_IN
"('r3d100010404', 'ind')",WRITTEN_IN
"('r3d100010404', '3 Natural Sciences')",ABOUT
"('r3d100010404', '313 Atmospheric Science and Oceanography')",ABOUT
"('r3d100010404', '34 Geosciences (including Geography)')",ABOUT
"('r3d100010404', 'Asia')",CONTAINS
"('r3d100010404', 'Indonesia')",CONTAINS
"('r3d100010404', 'change')",CONTAINS
"('r3d100010404', 'climate')",CONTAINS
"('r3d100010404', 'weather')",CONTAINS
"('r3d100010404', 'Archived data')",HAS_CONTENT
"('r3d100010404', 'Audiovisual data')",HAS_CONTENT
"('r3d100010404', 'Images')",HAS_CONTENT
"('r3d100010404', 'Raw data')",HAS_CONTENT
"('r3d100010404', 'Scientific and statistical data formats')",HAS_CONTENT
"('r3d100010404', 'Standard office documents')",HAS_CONTENT
"('r3d100010404', 'Structured graphics')",HAS_CONTENT
